Source;Target;Weight;Label;Type
A_ANDRIELLI MORAIS DE OLIVEIRA;V_2352-7102;3;3;Undirected
A_MYLENE CHRISTINE QUEIROZ DE FARIAS;V_1070-9908;1;1;Undirected
A_ANDRIELLI MORAIS DE OLIVEIRA;V_2073-4360;1;1;Undirected
A_MARCELA RODRIGUES MACHADO;V_0307-904X;1;1;Undirected
A_MARCELA RODRIGUES MACHADO;V_0964-1726;1;1;Undirected
A_MYLENE CHRISTINE QUEIROZ DE FARIAS;V_1380-7501;1;1;Undirected
A_MYLENE CHRISTINE QUEIROZ DE FARIAS;V_0923-5965;1;1;Undirected
A_MARIA LEONOR SILVA DE ALMEIDA;V_0378-7796;1;1;Undirected
A_MYLENE CHRISTINE QUEIROZ DE FARIAS;V_1573-7721;1;1;Undirected
