ID;Source;Target;Weight;Type;Label
186;41;55;20;Undirected;20
187;55;108;19;Undirected;19
188;61;109;19;Undirected;19
189;65;80;19;Undirected;19
190;47;55;19;Undirected;19
191;41;48;19;Undirected;19
192;60;80;19;Undirected;19
193;97;109;19;Undirected;19
194;20;83;19;Undirected;19
195;59;79;19;Undirected;19
196;21;110;18;Undirected;18
197;61;72;18;Undirected;18
198;72;79;18;Undirected;18
199;66;93;18;Undirected;18
200;43;65;18;Undirected;18
201;7;109;18;Undirected;18
202;41;66;18;Undirected;18
203;53;54;18;Undirected;18
204;48;93;18;Undirected;18
205;35;43;18;Undirected;18
206;60;107;18;Undirected;18
207;2;66;18;Undirected;18
208;70;109;18;Undirected;18
209;52;82;18;Undirected;18
210;31;109;18;Undirected;18
211;47;109;18;Undirected;18
212;46;62;18;Undirected;18
213;43;49;18;Undirected;18
214;44;67;18;Undirected;18
215;54;74;18;Undirected;18
216;64;77;18;Undirected;18
217;32;54;18;Undirected;18
218;3;49;17;Undirected;17
219;64;80;17;Undirected;17
220;54;93;17;Undirected;17
221;47;48;17;Undirected;17
222;88;97;17;Undirected;17
223;62;66;17;Undirected;17
224;7;82;17;Undirected;17
225;3;25;17;Undirected;17
226;60;88;17;Undirected;17
227;52;64;17;Undirected;17
228;79;82;17;Undirected;17
229;25;41;17;Undirected;17
230;52;66;17;Undirected;17
231;43;109;17;Undirected;17
232;66;77;17;Undirected;17
233;46;109;17;Undirected;17
234;35;102;17;Undirected;17
235;34;107;17;Undirected;17
236;7;62;16;Undirected;16
237;49;87;16;Undirected;16
238;44;62;16;Undirected;16
239;43;88;16;Undirected;16
240;59;88;16;Undirected;16
241;44;74;16;Undirected;16
242;67;72;16;Undirected;16
243;25;52;16;Undirected;16
244;20;72;16;Undirected;16
245;66;108;16;Undirected;16
246;44;80;16;Undirected;16
247;32;64;16;Undirected;16
248;49;65;16;Undirected;16
249;48;67;16;Undirected;16
250;79;109;16;Undirected;16
251;66;102;16;Undirected;16
252;4;86;15;Undirected;15
253;7;66;15;Undirected;15
254;72;86;15;Undirected;15
255;52;78;15;Undirected;15
256;95;108;15;Undirected;15
257;46;67;15;Undirected;15
258;49;62;15;Undirected;15
259;25;64;15;Undirected;15
260;42;72;15;Undirected;15
261;66;110;15;Undirected;15
262;35;62;15;Undirected;15
263;75;76;15;Undirected;15
264;70;88;15;Undirected;15
265;21;66;15;Undirected;15
266;49;92;15;Undirected;15
267;48;60;15;Undirected;15
268;64;74;15;Undirected;15
269;63;64;15;Undirected;15
270;44;64;15;Undirected;15
271;47;88;15;Undirected;15
272;43;62;15;Undirected;15
273;54;95;15;Undirected;15
274;38;64;15;Undirected;15
275;65;92;15;Undirected;15
276;49;52;15;Undirected;15
277;88;102;15;Undirected;15
278;55;60;15;Undirected;15
279;62;109;15;Undirected;15
280;4;64;15;Undirected;15
281;41;108;14;Undirected;14
282;7;80;14;Undirected;14
283;4;88;14;Undirected;14
284;49;70;14;Undirected;14
285;62;102;14;Undirected;14
286;37;43;14;Undirected;14
287;59;107;14;Undirected;14
288;66;69;14;Undirected;14
289;48;52;14;Undirected;14
290;46;60;14;Undirected;14
291;43;72;14;Undirected;14
292;74;104;14;Undirected;14
293;83;110;14;Undirected;14
294;75;88;14;Undirected;14
295;42;64;14;Undirected;14
296;20;109;14;Undirected;14
297;4;41;14;Undirected;14
298;41;68;14;Undirected;14
299;41;82;14;Undirected;14
300;42;107;14;Undirected;14
301;41;52;14;Undirected;14
302;3;66;14;Undirected;14
303;77;93;14;Undirected;14
304;16;48;14;Undirected;14
305;32;34;14;Undirected;14
306;82;97;13;Undirected;13
307;48;108;13;Undirected;13
308;82;86;13;Undirected;13
309;31;82;13;Undirected;13
310;59;80;13;Undirected;13
311;3;88;13;Undirected;13
312;48;49;13;Undirected;13
313;7;63;13;Undirected;13
314;21;47;13;Undirected;13
315;2;48;13;Undirected;13
316;55;67;13;Undirected;13
317;54;80;13;Undirected;13
318;57;88;13;Undirected;13
319;41;70;13;Undirected;13
320;94;109;13;Undirected;13
321;62;72;13;Undirected;13
322;32;72;13;Undirected;13
323;77;97;13;Undirected;13
324;18;107;13;Undirected;13
325;3;60;13;Undirected;13
326;52;107;13;Undirected;13
327;88;110;13;Undirected;13
328;84;107;13;Undirected;13
329;61;88;12;Undirected;12
330;4;43;12;Undirected;12
331;25;80;12;Undirected;12
332;42;88;12;Undirected;12
333;35;59;12;Undirected;12
334;53;109;12;Undirected;12
335;48;82;12;Undirected;12
336;68;109;12;Undirected;12
337;66;87;12;Undirected;12
338;37;38;12;Undirected;12
339;46;88;12;Undirected;12
340;41;62;12;Undirected;12
341;62;67;12;Undirected;12
342;77;87;12;Undirected;12
343;29;64;12;Undirected;12
344;48;95;12;Undirected;12
345;60;62;12;Undirected;12
