ID;Source;Target;Weight;Type;Label
186;74;121;13;Undirected;13
187;45;124;13;Undirected;13
188;77;99;13;Undirected;13
189;45;123;13;Undirected;13
190;68;107;13;Undirected;13
191;76;94;13;Undirected;13
192;32;85;13;Undirected;13
193;84;87;13;Undirected;13
194;50;85;13;Undirected;13
195;12;78;13;Undirected;13
196;12;81;13;Undirected;13
197;41;45;13;Undirected;13
198;27;122;12;Undirected;12
199;42;63;12;Undirected;12
200;69;85;12;Undirected;12
201;52;70;12;Undirected;12
202;65;124;12;Undirected;12
203;74;78;12;Undirected;12
204;14;50;12;Undirected;12
205;6;68;12;Undirected;12
206;49;57;12;Undirected;12
207;27;70;12;Undirected;12
208;59;65;12;Undirected;12
209;105;123;12;Undirected;12
210;49;64;12;Undirected;12
211;38;123;12;Undirected;12
212;50;124;11;Undirected;11
213;6;106;11;Undirected;11
214;68;69;11;Undirected;11
215;56;76;11;Undirected;11
216;6;46;11;Undirected;11
217;55;70;11;Undirected;11
218;104;121;11;Undirected;11
219;46;124;11;Undirected;11
220;33;77;11;Undirected;11
221;105;124;11;Undirected;11
222;23;54;11;Undirected;11
223;70;85;11;Undirected;11
224;33;62;11;Undirected;11
225;30;68;11;Undirected;11
226;8;113;11;Undirected;11
227;67;121;11;Undirected;11
228;38;124;11;Undirected;11
229;12;121;11;Undirected;11
230;38;74;11;Undirected;11
231;38;121;11;Undirected;11
232;51;76;11;Undirected;11
233;42;69;11;Undirected;11
234;65;85;11;Undirected;11
235;59;70;11;Undirected;11
236;77;89;11;Undirected;11
237;58;60;11;Undirected;11
238;33;63;11;Undirected;11
239;64;85;11;Undirected;11
240;27;95;11;Undirected;11
241;33;81;10;Undirected;10
242;120;121;10;Undirected;10
243;41;122;10;Undirected;10
244;65;78;10;Undirected;10
245;67;99;10;Undirected;10
246;76;81;10;Undirected;10
247;50;62;10;Undirected;10
248;23;85;10;Undirected;10
249;29;78;10;Undirected;10
250;84;123;10;Undirected;10
251;65;123;10;Undirected;10
252;58;64;10;Undirected;10
253;98;123;10;Undirected;10
254;6;27;10;Undirected;10
255;12;76;10;Undirected;10
256;49;113;10;Undirected;10
257;33;124;10;Undirected;10
258;78;123;10;Undirected;10
259;33;123;10;Undirected;10
260;23;45;10;Undirected;10
261;76;116;10;Undirected;10
262;29;38;10;Undirected;10
263;38;76;10;Undirected;10
264;45;67;10;Undirected;10
265;54;124;10;Undirected;10
266;113;123;10;Undirected;10
267;45;91;10;Undirected;10
268;99;121;10;Undirected;10
269;29;68;10;Undirected;10
270;63;76;10;Undirected;10
271;69;99;10;Undirected;10
272;2;76;10;Undirected;10
273;33;41;10;Undirected;10
274;52;85;10;Undirected;10
275;60;81;10;Undirected;10
276;78;107;10;Undirected;10
277;2;5;9;Undirected;9
278;41;69;9;Undirected;9
279;57;62;9;Undirected;9
280;9;76;9;Undirected;9
281;55;124;9;Undirected;9
282;94;124;9;Undirected;9
283;69;76;9;Undirected;9
284;63;85;9;Undirected;9
285;45;63;9;Undirected;9
286;49;76;9;Undirected;9
287;5;62;9;Undirected;9
288;116;121;9;Undirected;9
289;41;123;9;Undirected;9
290;58;76;9;Undirected;9
291;41;56;9;Undirected;9
292;81;89;9;Undirected;9
293;41;121;9;Undirected;9
294;63;70;9;Undirected;9
295;59;99;9;Undirected;9
296;55;122;9;Undirected;9
297;9;123;9;Undirected;9
298;23;74;9;Undirected;9
299;33;89;9;Undirected;9
300;49;50;9;Undirected;9
301;68;110;9;Undirected;9
302;23;76;9;Undirected;9
303;100;121;9;Undirected;9
304;60;74;9;Undirected;9
305;94;99;9;Undirected;9
306;25;124;9;Undirected;9
307;89;90;9;Undirected;9
308;56;121;9;Undirected;9
309;91;92;8;Undirected;8
310;76;106;8;Undirected;8
311;23;121;8;Undirected;8
312;76;113;8;Undirected;8
313;60;68;8;Undirected;8
314;33;99;8;Undirected;8
315;33;116;8;Undirected;8
316;46;123;8;Undirected;8
317;58;82;8;Undirected;8
318;55;64;8;Undirected;8
319;63;81;8;Undirected;8
320;32;123;8;Undirected;8
321;63;68;8;Undirected;8
322;55;85;8;Undirected;8
323;55;68;8;Undirected;8
324;76;85;8;Undirected;8
325;76;122;8;Undirected;8
326;25;67;8;Undirected;8
327;57;77;8;Undirected;8
328;64;91;8;Undirected;8
329;27;45;8;Undirected;8
330;60;82;8;Undirected;8
331;44;76;8;Undirected;8
332;27;78;8;Undirected;8
333;8;123;8;Undirected;8
334;62;76;8;Undirected;8
